"imdb_id","title","type","franchise","production_start","production_end","release_date","imdb_rating","box_office_us","poster","budget","genre_ids"
"tt0076759","Star Wars: Episode IV - A New Hope","film","Star Wars","1976-03-22","1976-07-16","1977-05-25","8.6","$460,998,507","https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0080684","Star Wars: Episode V - The Empire Strikes Back","film","Star Wars","1979-09-01","1980-03-01","1980-05-21","8.7","$292,753,960","https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0086190","Star Wars: Episode VI - Return of the Jedi","film","Star Wars","1982-08-01","1983-03-01","1983-05-25","8.3","$316,566,101","https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0120915","Star Wars: Episode I - The Phantom Menace","film","Star Wars","1997-06-01","1998-12-01","1999-05-19","6.5","$487,576,624","https://m.media-amazon.com/images/M/MV5BODVhNGIxOGItYWNlMi00YTA0LWI3NTctZmQxZGUwZDEyZWI4XkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0121765","Star Wars: Episode II - Attack of the Clones","film","Star Wars","2000-06-26","2001-09-21","2002-05-16","6.6","$310,676,740","https://m.media-amazon.com/images/M/MV5BNTgxMjY2YzUtZmVmNC00YjAwLWJlODMtNDBhNzllNzIzMjgxXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0121766","Star Wars: Episode III - Revenge of the Sith","film","Star Wars","2003-06-30","2004-10-15","2005-05-19","7.6","$414,378,291","https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX1000.jpg","",""
"tt2488496","Star Wars: The Force Awakens","film","Star Wars","2014-05-16","2015-06-12","2015-12-18","6.7","N/A","https://m.media-amazon.com/images/M/MV5BM2UzYjk5MTQtY2U3NC00ODlmLTg2ZGYtMDc1N2Q5YTc0OWViXkEyXkFqcGdeQXVyMjMyMjA0NTA@._V1_SX1000.jpg","",""
"tt2527336","Star Wars: The Last Jedi","film","Star Wars","2016-02-10","2017-07-22","2017-12-15","4.3","N/A","https://m.media-amazon.com/images/M/MV5BNzBkODVkNTUtNDBiOC00Y2ZiLWExMjAtODc0YzA4YTZmZDkwXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt2527338","Star Wars: The Rise of Skywalker","film","Star Wars","2018-08-20","2019-10-26","2019-12-20","N/A","N/A","https://m.media-amazon.com/images/M/MV5BZjA2NWIyODgtYWNmMS00NjVmLTg2N2MtMWI5ZDVkZTY2OGNkXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt3748528","Rogue One: A Star Wars Story","film","Star Wars","2015-08-08","2016-07-16","2016-12-16","7.8","$533,539,991","https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX1000.jpg","",""
"tt3778644","Solo: A Star Wars Story","film","Star Wars","2017-05-10","2017-10-22","2018-05-25","6.9","$213,767,512","https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_SX1000.jpg","",""
"tt0079945","Star Trek: The Motion Picture","film","Star Trek","1978-08-07","1979-01-26","1979-12-07","6.4","$82,604,699","https://m.media-amazon.com/images/M/MV5BNjcyMmVmMTItNTA3Yy00NGJjLTlmYjQtZWQ3ZjcyNmU5NDQ2XkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0084726","Star Trek II: The Wrath of Khan","film","Star Trek","1981-04-01","1982-02-01","1982-06-04","7.7","$79,707,906","https://m.media-amazon.com/images/M/MV5BOTFkZDY5NWQtMjY4Yy00OThiLTk3YjQtMDdhYTllMTI4MTdiXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0088170","Star Trek III: The Search for Spock","film","Star Trek","1983-08-01","1984-04-01","1984-06-01","6.7","$76,471,046","https://m.media-amazon.com/images/M/MV5BYzNkOTZjMTMtOWYzZS00Yjg2LTgyMzQtMmNjODdkYzM0ZjhmXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0092007","Star Trek IV: The Voyage Home","film","Star Trek","1985-02-01","1985-10-01","1986-11-26","7.3","$109,713,132","https://m.media-amazon.com/images/M/MV5BYmZlYWYwMzUtMjYzMy00MWI1LTg3MDctOTdjYjA2MDkwNGU5XkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0098382","Star Trek V: The Final Frontier","film","Star Trek","1988-03-01","1989-02-01","1989-06-09","5.5","$52,210,049","https://m.media-amazon.com/images/M/MV5BNWEzYmU4ZDYtNWMwMi00YWRmLTg3NDQtMWFhYTI3YWQ2OTQ3XkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0102975","Star Trek VI: The Undiscovered Country","film","Star Trek","1990-09-01","1991-06-01","1991-12-06","7.2","$74,888,996","https://m.media-amazon.com/images/M/MV5BNDgzYjM5MWQtYTkzNy00OWZlLWEzMDctYjA5MDUyNmJhZjM5XkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0111280","Star Trek: Generations","film","Star Trek","1993-06-01","1994-05-01","1994-11-18","6.6","$75,671,125","https://m.media-amazon.com/images/M/MV5BNDFjYmFmNmItODM5Ny00YzhlLWEzNjEtNTBlNjRiN2RlYTRhXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0117731","Star Trek: First Contact","film","Star Trek","1995-04-01","1996-03-01","1996-11-22","7.6","$92,027,888","https://m.media-amazon.com/images/M/MV5BZjc0OWE1NDMtNjRmMi00ZDc2LWI2ZmQtNzEwNWU4Nzg4NDA5XkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0120844","Star Trek: Insurrection","film","Star Trek","1997-06-01","1998-10-01","1998-12-11","6.4","$70,187,658","https://m.media-amazon.com/images/M/MV5BNTQwZDg2NGQtNjEwNS00ZWVhLWE0YTEtYjhkZWM0NjdkOWIzXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0796366","Star Trek (2009)","film","Star Trek","2007-11-07","2008-03-27","2009-05-08","7.9","$257,730,019","https://m.media-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX1000.jpg","",""
"tt1408101","Star Trek Into Darkness","film","Star Trek","2012-01-12","2012-05-01","2013-05-16","7.7","$228,778,661","https://m.media-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX1000.jpg","",""
"tt2660888","Star Trek Beyond","film","Star Trek","2015-06-25","2015-10-15","2016-07-22","7.0","$158,848,340","https://m.media-amazon.com/images/M/MV5BN2FhNDI1YTYtNWI0OC00ZjYxLWJlYWEtN2ZiZjRmZDY1MWJjXkEyXkFqcGc@._V1_SX1000.jpg","",""
"tt0114709","Toy Story","film","Pixar","1994-10-01","1995-06-01","1995-11-22","8.3","$223,225,679","https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_SX1000.jpg","",""
